,bought,buy_price,stop_loss,sold,sell_price,stoped
828,2020-07-19 12:06:00+00:00,9118.636754198968,9074.870529793954,2020-07-19 23:11:00+00:00,9230.871348166544,False
829,2020-07-20 00:13:00+00:00,9205.407384704231,9174.083164735932,2020-07-20 04:53:00+00:00,9174.083164735932,True
830,2020-07-20 13:51:00+00:00,9142.8487022533,9101.185313399918,2020-07-20 17:38:00+00:00,9200.13181962788,False
831,2020-07-21 02:19:00+00:00,9176.168692007228,9135.742240082842,2020-07-21 12:16:00+00:00,9356.333755838943,False
832,2020-07-22 00:06:00+00:00,9378.949756833783,9333.97036670033,2020-07-22 05:00:00+00:00,9333.97036670033,True
833,2020-07-22 12:06:00+00:00,9342.747842633085,9277.208692383965,2020-07-27 00:50:00+00:00,10009.312799206618,False
834,2020-07-27 12:08:00+00:00,10229.271447375662,10122.981393713622,2020-08-02 01:43:00+00:00,11923.095749157368,False
835,2020-08-02 19:39:00+00:00,11189.803302296663,10618.370480925245,2020-08-03 13:55:00+00:00,11293.384282266434,False
836,2020-08-04 02:37:00+00:00,11318.208669241623,11099.406935028548,2020-08-04 11:53:00+00:00,11099.406935028548,True
837,2020-08-04 16:13:00+00:00,11180.034690935747,10953.388257814444,2020-08-05 12:43:00+00:00,11506.189461857432,False
838,2020-08-06 00:20:00+00:00,11728.778214614744,11550.015427797947,2020-08-06 13:40:00+00:00,11848.453240087809,False
839,2020-08-07 04:08:00+00:00,11824.767901562529,11668.643418658998,2020-08-07 14:06:00+00:00,11668.643418658998,True
840,2020-08-08 00:25:00+00:00,11543.439362872085,11344.008612088159,2020-08-10 00:25:00+00:00,11740.581311304497,False
841,2020-08-10 15:43:00+00:00,11865.148065866504,11562.895643933634,2020-08-11 13:38:00+00:00,11562.895643933634,True
842,2020-08-12 00:30:00+00:00,11350.81469739779,11128.701677373376,2020-08-12 13:52:00+00:00,11566.527154188861,False
843,2020-08-13 02:32:00+00:00,11597.227913536373,11469.805494013777,2020-08-13 08:07:00+00:00,11469.805494013777,True
